"source","target","value"
"Votos a candidaturas 2007","PSOE 2007",98
"Votos a candidaturas 2007","PP 2007",15
"Votos a candidaturas 2007","PAR 2007",34
"Votos a candidaturas 2007","CHA 2007",1
"Votos a candidaturas 2007","IU 2007",12
"PSOE 2007","Votos a candidaturas 2011",98
"PP 2007","Votos a candidaturas 2011",15
"PAR 2007","Votos a candidaturas 2011",34
"CHA 2007","Votos a candidaturas 2011",1
"IU 2007","Votos a candidaturas 2011",12
"Votos a candidaturas 2011","PSOE 2011",60
"Votos a candidaturas 2011","PP 2011",29
"Votos a candidaturas 2011","PAR 2011",38
"Votos a candidaturas 2011","ECOLO 2011",26
