"source","target","value"
"Votos a candidaturas 2007","PSOE 2007",41
"Votos a candidaturas 2007","PP 2007",33
"Votos a candidaturas 2007","PAR 2007",30
"Votos a candidaturas 2007","CHA 2007",26
"Votos a candidaturas 2007","IU 2007",54
"PSOE 2007","Votos a candidaturas 2011",41
"PP 2007","Votos a candidaturas 2011",33
"PAR 2007","Votos a candidaturas 2011",30
"CHA 2007","Votos a candidaturas 2011",26
"IU 2007","Votos a candidaturas 2011",54
"Votos a candidaturas 2011","PSOE 2011",36
"Votos a candidaturas 2011","PP 2011",58
"Votos a candidaturas 2011","PAR 2011",24
"Votos a candidaturas 2011","CHA 2011",3
"Votos a candidaturas 2011","IU 2011",18
