"source","target","value"
"Votos a candidaturas 2007","PSOE 2007",225
"Votos a candidaturas 2007","PP 2007",172
"Votos a candidaturas 2007","PAR 2007",181
"Votos a candidaturas 2007","CHA 2007",119
"PSOE 2007","Votos a candidaturas 2011",225
"PP 2007","Votos a candidaturas 2011",172
"PAR 2007","Votos a candidaturas 2011",181
"CHA 2007","Votos a candidaturas 2011",119
"Votos a candidaturas 2011","PSOE 2011",213
"Votos a candidaturas 2011","PP 2011",181
"Votos a candidaturas 2011","PAR 2011",120
"Votos a candidaturas 2011","CHA 2011",139
