"source","target","value"
"Votos a candidaturas 2007","PSOE 2007",136
"Votos a candidaturas 2007","PP 2007",85
"Votos a candidaturas 2007","PAR 2007",39
"Votos a candidaturas 2007","CHA 2007",28
"PSOE 2007","Votos a candidaturas 2011",136
"PP 2007","Votos a candidaturas 2011",85
"PAR 2007","Votos a candidaturas 2011",39
"CHA 2007","Votos a candidaturas 2011",28
"Votos a candidaturas 2011","PSOE 2011",120
"Votos a candidaturas 2011","PP 2011",62
"Votos a candidaturas 2011","PAR 2011",29
"Votos a candidaturas 2011","CHA 2011",26
