"source","target","value"
"Votos a candidaturas 2007","PSOE 2007",5166
"Votos a candidaturas 2007","PP 2007",5909
"Votos a candidaturas 2007","PAR 2007",2740
"Votos a candidaturas 2007","CHA 2007",1423
"Votos a candidaturas 2007","IU 2007",806
"Votos a candidaturas 2007","pCUA 2007",115
"Votos a candidaturas 2007","PFyV 2007",30
"PSOE 2007","Votos a candidaturas 2011",5166
"PP 2007","Votos a candidaturas 2011",5909
"PAR 2007","Votos a candidaturas 2011",2740
"CHA 2007","Votos a candidaturas 2011",1423
"IU 2007","Votos a candidaturas 2011",806
"pCUA 2007","Votos a candidaturas 2011",115
"PFyV 2007","Votos a candidaturas 2011",30
"Votos a candidaturas 2011","PSOE 2011",3461
"Votos a candidaturas 2011","PP 2011",7932
"Votos a candidaturas 2011","PAR 2011",1170
"Votos a candidaturas 2011","CHA 2011",1388
"Votos a candidaturas 2011","IU 2011",1174
"Votos a candidaturas 2011","UPyD 2011",354
"Votos a candidaturas 2011","COMPROMISO.CON.ARAGON 2011",445
