"source","target","value"
"Votos a candidaturas 2007","PSOE 2007",39
"Votos a candidaturas 2007","PP 2007",13
"Votos a candidaturas 2007","PAR 2007",80
"Votos a candidaturas 2007","CHA 2007",3
"Votos a candidaturas 2007","IU 2007",3
"PSOE 2007","Votos a candidaturas 2011",39
"PP 2007","Votos a candidaturas 2011",13
"PAR 2007","Votos a candidaturas 2011",80
"CHA 2007","Votos a candidaturas 2011",3
"IU 2007","Votos a candidaturas 2011",3
"Votos a candidaturas 2011","PSOE 2011",47
"Votos a candidaturas 2011","PP 2011",34
"Votos a candidaturas 2011","PAR 2011",55
