"source","target","value"
"Votos a candidaturas 2007","PSOE 2007",16
"Votos a candidaturas 2007","PP 2007",80
"Votos a candidaturas 2007","CHA 2007",4
"Votos a candidaturas 2007","IU 2007",18
"PSOE 2007","Votos a candidaturas 2011",16
"PP 2007","Votos a candidaturas 2011",80
"CHA 2007","Votos a candidaturas 2011",4
"IU 2007","Votos a candidaturas 2011",18
"Votos a candidaturas 2011","PSOE 2011",33
"Votos a candidaturas 2011","PP 2011",75
"Votos a candidaturas 2011","CHA 2011",2
"Votos a candidaturas 2011","IU 2011",2
