"source","target","value"
"Votos a candidaturas 2007","PSOE 2007",32
"Votos a candidaturas 2007","PP 2007",37
"Votos a candidaturas 2007","PAR 2007",69
"Votos a candidaturas 2007","IU 2007",20
"PSOE 2007","Votos a candidaturas 2011",32
"PP 2007","Votos a candidaturas 2011",37
"PAR 2007","Votos a candidaturas 2011",69
"IU 2007","Votos a candidaturas 2011",20
"Votos a candidaturas 2011","PSOE 2011",21
"Votos a candidaturas 2011","PP 2011",31
"Votos a candidaturas 2011","PAR 2011",74
"Votos a candidaturas 2011","IU 2011",1
"Votos a candidaturas 2011","CHA 2011",30
