"source","target","value"
"Votos a candidaturas 2007","PSOE 2007",461
"Votos a candidaturas 2007","PP 2007",565
"Votos a candidaturas 2007","PAR 2007",306
"Votos a candidaturas 2007","CHA 2007",154
"PSOE 2007","Votos a candidaturas 2011",461
"PP 2007","Votos a candidaturas 2011",565
"PAR 2007","Votos a candidaturas 2011",306
"CHA 2007","Votos a candidaturas 2011",154
"Votos a candidaturas 2011","PSOE 2011",424
"Votos a candidaturas 2011","PP 2011",683
"Votos a candidaturas 2011","PAR 2011",99
"Votos a candidaturas 2011","CHA 2011",167
"Votos a candidaturas 2011","UPyD 2011",130
