"source","target","value"
"Votos a candidaturas 2007","PSOE 2007",582
"Votos a candidaturas 2007","PP 2007",304
"Votos a candidaturas 2007","PAR 2007",221
"Votos a candidaturas 2007","CHA 2007",68
"Votos a candidaturas 2007","IU 2007",100
"PSOE 2007","Votos a candidaturas 2011",582
"PP 2007","Votos a candidaturas 2011",304
"PAR 2007","Votos a candidaturas 2011",221
"CHA 2007","Votos a candidaturas 2011",68
"IU 2007","Votos a candidaturas 2011",100
"Votos a candidaturas 2011","PSOE 2011",545
"Votos a candidaturas 2011","PP 2011",408
"Votos a candidaturas 2011","PAR 2011",193
"Votos a candidaturas 2011","CHA 2011",15
"Votos a candidaturas 2011","IU 2011",83
