"source","target","value"
"Votos a candidaturas 2007","PSOE 2007",564
"Votos a candidaturas 2007","PP 2007",621
"Votos a candidaturas 2007","PAR 2007",260
"Votos a candidaturas 2007","CHA 2007",302
"Votos a candidaturas 2007","GIC 2007",154
"PSOE 2007","Votos a candidaturas 2011",564
"PP 2007","Votos a candidaturas 2011",621
"PAR 2007","Votos a candidaturas 2011",260
"CHA 2007","Votos a candidaturas 2011",302
"GIC 2007","Votos a candidaturas 2011",154
"Votos a candidaturas 2011","PSOE 2011",973
"Votos a candidaturas 2011","PP 2011",605
"Votos a candidaturas 2011","PAR 2011",214
"Votos a candidaturas 2011","CHA 2011",166
"Votos a candidaturas 2011","PIRUM 2011",47
