"source","target","value"
"Votos a candidaturas 2007","PSOE 2007",37
"Votos a candidaturas 2007","PP 2007",31
"Votos a candidaturas 2007","PAR 2007",83
"Votos a candidaturas 2007","CHA 2007",3
"PSOE 2007","Votos a candidaturas 2011",37
"PP 2007","Votos a candidaturas 2011",31
"PAR 2007","Votos a candidaturas 2011",83
"CHA 2007","Votos a candidaturas 2011",3
"Votos a candidaturas 2011","PSOE 2011",17
"Votos a candidaturas 2011","PP 2011",31
"Votos a candidaturas 2011","PAR 2011",12
"Votos a candidaturas 2011","COMPROMISO.CON.ARAGON 2011",73
