"source","target","value"
"Votos a candidaturas 2007","PSOE 2007",156
"Votos a candidaturas 2007","PP 2007",104
"Votos a candidaturas 2007","PAR 2007",61
"Votos a candidaturas 2007","CHA 2007",26
"PSOE 2007","Votos a candidaturas 2011",156
"PP 2007","Votos a candidaturas 2011",104
"PAR 2007","Votos a candidaturas 2011",61
"CHA 2007","Votos a candidaturas 2011",26
"Votos a candidaturas 2011","PSOE 2011",135
"Votos a candidaturas 2011","PP 2011",153
"Votos a candidaturas 2011","PAR 2011",37
"Votos a candidaturas 2011","CHA 2011",26
