"source","target","value"
"Votos a candidaturas 2007","PSOE 2007",82
"Votos a candidaturas 2007","PP 2007",50
"Votos a candidaturas 2007","PAR 2007",75
"Votos a candidaturas 2007","CHA 2007",6
"PSOE 2007","Votos a candidaturas 2011",82
"PP 2007","Votos a candidaturas 2011",50
"PAR 2007","Votos a candidaturas 2011",75
"CHA 2007","Votos a candidaturas 2011",6
"Votos a candidaturas 2011","PSOE 2011",61
"Votos a candidaturas 2011","PP 2011",48
"Votos a candidaturas 2011","PAR 2011",31
"Votos a candidaturas 2011","CHA 2011",5
