"source","target","value"
"Votos a candidaturas 2007","PSOE 2007",222
"Votos a candidaturas 2007","PP 2007",495
"Votos a candidaturas 2007","PAR 2007",236
"Votos a candidaturas 2007","CHA 2007",110
"Votos a candidaturas 2007","IU 2007",57
"PSOE 2007","Votos a candidaturas 2011",222
"PP 2007","Votos a candidaturas 2011",495
"PAR 2007","Votos a candidaturas 2011",236
"CHA 2007","Votos a candidaturas 2011",110
"IU 2007","Votos a candidaturas 2011",57
"Votos a candidaturas 2011","PSOE 2011",160
"Votos a candidaturas 2011","PP 2011",608
"Votos a candidaturas 2011","PAR 2011",207
"Votos a candidaturas 2011","CHA 2011",110
