"source","target","value"
"Votos a candidaturas 2007","PSOE 2007",83
"Votos a candidaturas 2007","PP 2007",9
"Votos a candidaturas 2007","PAR 2007",17
"Votos a candidaturas 2007","CHA 2007",33
"PSOE 2007","Votos a candidaturas 2011",83
"PP 2007","Votos a candidaturas 2011",9
"PAR 2007","Votos a candidaturas 2011",17
"CHA 2007","Votos a candidaturas 2011",33
"Votos a candidaturas 2011","PSOE 2011",70
"Votos a candidaturas 2011","PP 2011",10
"Votos a candidaturas 2011","PAR 2011",32
"Votos a candidaturas 2011","CHA 2011",22
