"source","target","value"
"Votos a candidaturas 2007","PSOE 2007",138
"Votos a candidaturas 2007","PP 2007",72
"Votos a candidaturas 2007","PAR 2007",291
"Votos a candidaturas 2007","CHA 2007",81
"PSOE 2007","Votos a candidaturas 2011",138
"PP 2007","Votos a candidaturas 2011",72
"PAR 2007","Votos a candidaturas 2011",291
"CHA 2007","Votos a candidaturas 2011",81
"Votos a candidaturas 2011","PSOE 2011",159
"Votos a candidaturas 2011","PP 2011",37
"Votos a candidaturas 2011","PAR 2011",323
"Votos a candidaturas 2011","CHA 2011",68
