"source","target","value"
"Votos a candidaturas 2007","PP 2007",36
"Votos a candidaturas 2007","PAR 2007",30
"Votos a candidaturas 2007","CHA 2007",26
"Votos a candidaturas 2007","IU 2007",15
"PP 2007","Votos a candidaturas 2011",36
"PAR 2007","Votos a candidaturas 2011",30
"CHA 2007","Votos a candidaturas 2011",26
"IU 2007","Votos a candidaturas 2011",15
"Votos a candidaturas 2011","PP 2011",42
"Votos a candidaturas 2011","PAR 2011",9
"Votos a candidaturas 2011","CHA 2011",29
"Votos a candidaturas 2011","IU 2011",15
"Votos a candidaturas 2011","PSOE 2011",37
