"source","target","value"
"Votos a candidaturas 2007","PSOE 2007",285
"Votos a candidaturas 2007","PP 2007",197
"Votos a candidaturas 2007","PAR 2007",47
"Votos a candidaturas 2007","IU 2007",124
"PSOE 2007","Votos a candidaturas 2011",285
"PP 2007","Votos a candidaturas 2011",197
"PAR 2007","Votos a candidaturas 2011",47
"IU 2007","Votos a candidaturas 2011",124
"Votos a candidaturas 2011","PSOE 2011",171
"Votos a candidaturas 2011","PP 2011",113
"Votos a candidaturas 2011","PAR 2011",66
"Votos a candidaturas 2011","IU 2011",319
