"source","target","value"
"Votos a candidaturas 2007","PSOE 2007",724
"Votos a candidaturas 2007","PP 2007",699
"Votos a candidaturas 2007","PAR 2007",467
"Votos a candidaturas 2007","CHA 2007",105
"PSOE 2007","Votos a candidaturas 2011",724
"PP 2007","Votos a candidaturas 2011",699
"PAR 2007","Votos a candidaturas 2011",467
"CHA 2007","Votos a candidaturas 2011",105
"Votos a candidaturas 2011","PSOE 2011",626
"Votos a candidaturas 2011","PP 2011",739
"Votos a candidaturas 2011","PAR 2011",365
"Votos a candidaturas 2011","CHA 2011",181
