"source","target","value"
"Votos a candidaturas 2007","PSOE 2007",1004
"Votos a candidaturas 2007","PP 2007",173
"Votos a candidaturas 2007","PAR 2007",103
"Votos a candidaturas 2007","CHA 2007",634
"PSOE 2007","Votos a candidaturas 2011",1004
"PP 2007","Votos a candidaturas 2011",173
"PAR 2007","Votos a candidaturas 2011",103
"CHA 2007","Votos a candidaturas 2011",634
"Votos a candidaturas 2011","PSOE 2011",721
"Votos a candidaturas 2011","PP 2011",349
"Votos a candidaturas 2011","CHA 2011",644
