"source","target","value"
"Votos a candidaturas 2007","PSOE 2007",559
"Votos a candidaturas 2007","PP 2007",412
"Votos a candidaturas 2007","PAR 2007",210
"Votos a candidaturas 2007","CHA 2007",66
"PSOE 2007","Votos a candidaturas 2011",559
"PP 2007","Votos a candidaturas 2011",412
"PAR 2007","Votos a candidaturas 2011",210
"CHA 2007","Votos a candidaturas 2011",66
"Votos a candidaturas 2011","PSOE 2011",637
"Votos a candidaturas 2011","PP 2011",322
"Votos a candidaturas 2011","PAR 2011",187
"Votos a candidaturas 2011","CHA 2011",35
"Votos a candidaturas 2011","COMPROMISO.CON.ARAGON 2011",59
