"source","target","value"
"Votos a candidaturas 2007","PSOE 2007",68
"Votos a candidaturas 2007","PP 2007",5
"Votos a candidaturas 2007","PAR 2007",62
"Votos a candidaturas 2007","CHA 2007",5
"PSOE 2007","Votos a candidaturas 2011",68
"PP 2007","Votos a candidaturas 2011",5
"PAR 2007","Votos a candidaturas 2011",62
"CHA 2007","Votos a candidaturas 2011",5
"Votos a candidaturas 2011","PSOE 2011",53
"Votos a candidaturas 2011","PP 2011",15
"Votos a candidaturas 2011","PAR 2011",43
"Votos a candidaturas 2011","COMPROMISO.CON.ARAGON 2011",20
