"source","target","value"
"Votos a candidaturas 2007","PSOE 2007",200
"Votos a candidaturas 2007","PP 2007",354
"Votos a candidaturas 2007","PAR 2007",141
"Votos a candidaturas 2007","CHA 2007",43
"Votos a candidaturas 2007","IU 2007",15
"PSOE 2007","Votos a candidaturas 2011",200
"PP 2007","Votos a candidaturas 2011",354
"PAR 2007","Votos a candidaturas 2011",141
"CHA 2007","Votos a candidaturas 2011",43
"IU 2007","Votos a candidaturas 2011",15
"Votos a candidaturas 2011","PSOE 2011",136
"Votos a candidaturas 2011","PP 2011",451
"Votos a candidaturas 2011","PAR 2011",120
"Votos a candidaturas 2011","CHA 2011",99
