"source","target","value"
"Votos a candidaturas 2007","PSOE 2007",108
"Votos a candidaturas 2007","PP 2007",187
"Votos a candidaturas 2007","PAR 2007",96
"Votos a candidaturas 2007","CHA 2007",20
"PSOE 2007","Votos a candidaturas 2011",108
"PP 2007","Votos a candidaturas 2011",187
"PAR 2007","Votos a candidaturas 2011",96
"CHA 2007","Votos a candidaturas 2011",20
"Votos a candidaturas 2011","PSOE 2011",62
"Votos a candidaturas 2011","PP 2011",238
"Votos a candidaturas 2011","PAR 2011",72
"Votos a candidaturas 2011","CHA 2011",41
