"source","target","value"
"Votos a candidaturas 2007","PSOE 2007",581
"Votos a candidaturas 2007","PP 2007",807
"Votos a candidaturas 2007","PAR 2007",290
"Votos a candidaturas 2007","CHA 2007",184
"Votos a candidaturas 2007","IU 2007",182
"PSOE 2007","Votos a candidaturas 2011",581
"PP 2007","Votos a candidaturas 2011",807
"PAR 2007","Votos a candidaturas 2011",290
"CHA 2007","Votos a candidaturas 2011",184
"IU 2007","Votos a candidaturas 2011",182
"Votos a candidaturas 2011","PSOE 2011",698
"Votos a candidaturas 2011","PP 2011",525
"Votos a candidaturas 2011","PAR 2011",349
"Votos a candidaturas 2011","CHA 2011",143
"Votos a candidaturas 2011","IU 2011",134
"Votos a candidaturas 2011","COMPROMISO.CON.ARAGON 2011",99
