"source","target","value"
"Votos a candidaturas 2007","PSOE 2007",1
"Votos a candidaturas 2007","PP 2007",48
"Votos a candidaturas 2007","PAR 2007",9
"Votos a candidaturas 2007","CHA 2007",13
"PSOE 2007","Votos a candidaturas 2011",1
"PP 2007","Votos a candidaturas 2011",48
"PAR 2007","Votos a candidaturas 2011",9
"CHA 2007","Votos a candidaturas 2011",13
"Votos a candidaturas 2011","PSOE 2011",7
"Votos a candidaturas 2011","PP 2011",35
"Votos a candidaturas 2011","PAR 2011",3
"Votos a candidaturas 2011","CHA 2011",7
