"source","target","value"
"Votos a candidaturas 2007","PSOE 2007",86
"Votos a candidaturas 2007","PP 2007",29
"Votos a candidaturas 2007","PAR 2007",58
"Votos a candidaturas 2007","CHA 2007",9
"PSOE 2007","Votos a candidaturas 2011",86
"PP 2007","Votos a candidaturas 2011",29
"PAR 2007","Votos a candidaturas 2011",58
"CHA 2007","Votos a candidaturas 2011",9
"Votos a candidaturas 2011","PSOE 2011",46
"Votos a candidaturas 2011","PP 2011",3
"Votos a candidaturas 2011","PAR 2011",49
"Votos a candidaturas 2011","AELEF 2011",63
