"source","target","value"
"Votos a candidaturas 2007","PSOE 2007",4
"Votos a candidaturas 2007","PP 2007",60
"Votos a candidaturas 2007","PAR 2007",40
"Votos a candidaturas 2007","CHA 2007",4
"Votos a candidaturas 2007","IU 2007",13
"PSOE 2007","Votos a candidaturas 2011",4
"PP 2007","Votos a candidaturas 2011",60
"PAR 2007","Votos a candidaturas 2011",40
"CHA 2007","Votos a candidaturas 2011",4
"IU 2007","Votos a candidaturas 2011",13
"Votos a candidaturas 2011","PSOE 2011",18
"Votos a candidaturas 2011","PP 2011",52
"Votos a candidaturas 2011","PAR 2011",27
"Votos a candidaturas 2011","IU 2011",1
