"source","target","value"
"Votos a candidaturas 2007","PSOE 2007",95
"Votos a candidaturas 2007","PP 2007",12
"Votos a candidaturas 2007","CHA 2007",44
"Votos a candidaturas 2007","FV 2007",15
"PSOE 2007","Votos a candidaturas 2011",95
"PP 2007","Votos a candidaturas 2011",12
"CHA 2007","Votos a candidaturas 2011",44
"FV 2007","Votos a candidaturas 2011",15
"Votos a candidaturas 2011","PSOE 2011",77
"Votos a candidaturas 2011","PP 2011",3
"Votos a candidaturas 2011","CHA 2011",32
"Votos a candidaturas 2011","PAR 2011",19
