"source","target","value"
"Votos a candidaturas 2007","PSOE 2007",433
"Votos a candidaturas 2007","PP 2007",199
"Votos a candidaturas 2007","PAR 2007",396
"Votos a candidaturas 2007","CHA 2007",41
"PSOE 2007","Votos a candidaturas 2011",433
"PP 2007","Votos a candidaturas 2011",199
"PAR 2007","Votos a candidaturas 2011",396
"CHA 2007","Votos a candidaturas 2011",41
"Votos a candidaturas 2011","PSOE 2011",402
"Votos a candidaturas 2011","PP 2011",326
"Votos a candidaturas 2011","PAR 2011",268
"Votos a candidaturas 2011","CHA 2011",100
