"source","target","value"
"Votos a candidaturas 2007","PSOE 2007",24
"Votos a candidaturas 2007","PP 2007",54
"Votos a candidaturas 2007","PAR 2007",26
"Votos a candidaturas 2007","CHA 2007",49
"Votos a candidaturas 2007","IU 2007",5
"PSOE 2007","Votos a candidaturas 2011",24
"PP 2007","Votos a candidaturas 2011",54
"PAR 2007","Votos a candidaturas 2011",26
"CHA 2007","Votos a candidaturas 2011",49
"IU 2007","Votos a candidaturas 2011",5
"Votos a candidaturas 2011","PSOE 2011",10
"Votos a candidaturas 2011","PP 2011",38
"Votos a candidaturas 2011","PAR 2011",18
"Votos a candidaturas 2011","CHA 2011",61
"Votos a candidaturas 2011","IU 2011",1
"Votos a candidaturas 2011","VERDES...ECOLO.VERDES 2011",53
