"source","target","value"
"Votos a candidaturas 2007","PSOE 2007",10
"Votos a candidaturas 2007","PP 2007",5
"Votos a candidaturas 2007","PAR 2007",50
"Votos a candidaturas 2007","CHA 2007",3
"PSOE 2007","Votos a candidaturas 2011",10
"PP 2007","Votos a candidaturas 2011",5
"PAR 2007","Votos a candidaturas 2011",50
"CHA 2007","Votos a candidaturas 2011",3
"Votos a candidaturas 2011","PSOE 2011",4
"Votos a candidaturas 2011","PP 2011",6
"Votos a candidaturas 2011","PAR 2011",43
"Votos a candidaturas 2011","CHA 2011",1
