"source","target","value"
"Votos a candidaturas 2007","PSOE 2007",55
"Votos a candidaturas 2007","PP 2007",136
"Votos a candidaturas 2007","PAR 2007",34
"Votos a candidaturas 2007","CHA 2007",1
"PSOE 2007","Votos a candidaturas 2011",55
"PP 2007","Votos a candidaturas 2011",136
"PAR 2007","Votos a candidaturas 2011",34
"CHA 2007","Votos a candidaturas 2011",1
"Votos a candidaturas 2011","PSOE 2011",20
"Votos a candidaturas 2011","PP 2011",98
"Votos a candidaturas 2011","PAR 2011",34
"Votos a candidaturas 2011","FIA 2011",36
