"source","target","value"
"Votos a candidaturas 2007","PSOE 2007",280
"Votos a candidaturas 2007","PP 2007",284
"Votos a candidaturas 2007","PAR 2007",102
"Votos a candidaturas 2007","CHA 2007",105
"PSOE 2007","Votos a candidaturas 2011",280
"PP 2007","Votos a candidaturas 2011",284
"PAR 2007","Votos a candidaturas 2011",102
"CHA 2007","Votos a candidaturas 2011",105
"Votos a candidaturas 2011","PSOE 2011",204
"Votos a candidaturas 2011","PP 2011",240
"Votos a candidaturas 2011","PAR 2011",191
"Votos a candidaturas 2011","CHA 2011",124
