"source","target","value"
"Votos a candidaturas 2007","PSOE 2007",76
"Votos a candidaturas 2007","PP 2007",83
"Votos a candidaturas 2007","PAR 2007",59
"Votos a candidaturas 2007","CHA 2007",90
"PSOE 2007","Votos a candidaturas 2011",76
"PP 2007","Votos a candidaturas 2011",83
"PAR 2007","Votos a candidaturas 2011",59
"CHA 2007","Votos a candidaturas 2011",90
"Votos a candidaturas 2011","PSOE 2011",64
"Votos a candidaturas 2011","PP 2011",102
"Votos a candidaturas 2011","PAR 2011",50
"Votos a candidaturas 2011","CHA 2011",83
"Votos a candidaturas 2011","IU 2011",26
