"source","target","value"
"Votos a candidaturas 2007","PSOE 2007",38
"Votos a candidaturas 2007","PP 2007",10
"Votos a candidaturas 2007","PAR 2007",77
"Votos a candidaturas 2007","CHA 2007",4
"PSOE 2007","Votos a candidaturas 2011",38
"PP 2007","Votos a candidaturas 2011",10
"PAR 2007","Votos a candidaturas 2011",77
"CHA 2007","Votos a candidaturas 2011",4
"Votos a candidaturas 2011","PSOE 2011",44
"Votos a candidaturas 2011","PP 2011",28
"Votos a candidaturas 2011","PAR 2011",63
"Votos a candidaturas 2011","CHA 2011",4
