"source","target","value"
"Votos a candidaturas 2007","PSOE 2007",252
"Votos a candidaturas 2007","PP 2007",143
"Votos a candidaturas 2007","PAR 2007",169
"Votos a candidaturas 2007","CHA 2007",131
"Votos a candidaturas 2007","IU 2007",205
"PSOE 2007","Votos a candidaturas 2011",252
"PP 2007","Votos a candidaturas 2011",143
"PAR 2007","Votos a candidaturas 2011",169
"CHA 2007","Votos a candidaturas 2011",131
"IU 2007","Votos a candidaturas 2011",205
"Votos a candidaturas 2011","PSOE 2011",372
"Votos a candidaturas 2011","PP 2011",105
"Votos a candidaturas 2011","PAR 2011",125
"Votos a candidaturas 2011","CHA 2011",69
"Votos a candidaturas 2011","IU 2011",111
"Votos a candidaturas 2011","COMPROMISO.CON.ARAGON 2011",75
