"source","target","value"
"Votos a candidaturas 2007","PSOE 2007",121
"Votos a candidaturas 2007","PP 2007",124
"Votos a candidaturas 2007","PAR 2007",462
"Votos a candidaturas 2007","CHA 2007",726
"PSOE 2007","Votos a candidaturas 2011",121
"PP 2007","Votos a candidaturas 2011",124
"PAR 2007","Votos a candidaturas 2011",462
"CHA 2007","Votos a candidaturas 2011",726
"Votos a candidaturas 2011","PSOE 2011",217
"Votos a candidaturas 2011","PP 2011",154
"Votos a candidaturas 2011","PAR 2011",278
"Votos a candidaturas 2011","CHA 2011",515
