"source","target","value"
"Votos a candidaturas 2007","PSOE 2007",45
"Votos a candidaturas 2007","PP 2007",11
"Votos a candidaturas 2007","PAR 2007",32
"Votos a candidaturas 2007","CHA 2007",5
"Votos a candidaturas 2007","IU 2007",4
"PSOE 2007","Votos a candidaturas 2011",45
"PP 2007","Votos a candidaturas 2011",11
"PAR 2007","Votos a candidaturas 2011",32
"CHA 2007","Votos a candidaturas 2011",5
"IU 2007","Votos a candidaturas 2011",4
"Votos a candidaturas 2011","PSOE 2011",46
"Votos a candidaturas 2011","PP 2011",16
"Votos a candidaturas 2011","PAR 2011",32
"Votos a candidaturas 2011","IU 2011",7
