"source","target","value"
"Votos a candidaturas 2007","PSOE 2007",2761
"Votos a candidaturas 2007","PP 2007",2193
"Votos a candidaturas 2007","PAR 2007",757
"Votos a candidaturas 2007","CHA 2007",186
"Votos a candidaturas 2007","ALCIVI 2007",233
"PSOE 2007","Votos a candidaturas 2011",2761
"PP 2007","Votos a candidaturas 2011",2193
"PAR 2007","Votos a candidaturas 2011",757
"CHA 2007","Votos a candidaturas 2011",186
"ALCIVI 2007","Votos a candidaturas 2011",233
"Votos a candidaturas 2011","PSOE 2011",2331
"Votos a candidaturas 2011","PP 2011",2446
"Votos a candidaturas 2011","PAR 2011",733
"Votos a candidaturas 2011","CHA 2011",137
"Votos a candidaturas 2011","IU 2011",129
"Votos a candidaturas 2011","CDF 2011",205
