"source","target","value"
"Votos a candidaturas 2007","PSOE 2007",122
"Votos a candidaturas 2007","PP 2007",176
"Votos a candidaturas 2007","PAR 2007",248
"Votos a candidaturas 2007","CHA 2007",60
"PSOE 2007","Votos a candidaturas 2011",122
"PP 2007","Votos a candidaturas 2011",176
"PAR 2007","Votos a candidaturas 2011",248
"CHA 2007","Votos a candidaturas 2011",60
"Votos a candidaturas 2011","PSOE 2011",206
"Votos a candidaturas 2011","PP 2011",141
"Votos a candidaturas 2011","PAR 2011",160
"Votos a candidaturas 2011","CHA 2011",90
