"source","target","value"
"Votos a candidaturas 2007","PSOE 2007",287
"Votos a candidaturas 2007","PP 2007",139
"Votos a candidaturas 2007","PAR 2007",532
"Votos a candidaturas 2007","CHA 2007",91
"Votos a candidaturas 2007","IU 2007",55
"PSOE 2007","Votos a candidaturas 2011",287
"PP 2007","Votos a candidaturas 2011",139
"PAR 2007","Votos a candidaturas 2011",532
"CHA 2007","Votos a candidaturas 2011",91
"IU 2007","Votos a candidaturas 2011",55
"Votos a candidaturas 2011","PSOE 2011",232
"Votos a candidaturas 2011","PP 2011",265
"Votos a candidaturas 2011","PAR 2011",416
"Votos a candidaturas 2011","CHA 2011",266
