"source","target","value"
"Votos a candidaturas 2007","PSOE 2007",104
"Votos a candidaturas 2007","PP 2007",60
"Votos a candidaturas 2007","PAR 2007",18
"Votos a candidaturas 2007","CHA 2007",14
"PSOE 2007","Votos a candidaturas 2011",104
"PP 2007","Votos a candidaturas 2011",60
"PAR 2007","Votos a candidaturas 2011",18
"CHA 2007","Votos a candidaturas 2011",14
"Votos a candidaturas 2011","PSOE 2011",76
"Votos a candidaturas 2011","PP 2011",69
"Votos a candidaturas 2011","PAR 2011",38
"Votos a candidaturas 2011","CHA 2011",8
