"source","target","value"
"Votos a candidaturas 2007","PSOE 2007",53
"Votos a candidaturas 2007","PP 2007",159
"Votos a candidaturas 2007","PAR 2007",167
"Votos a candidaturas 2007","CHA 2007",46
"PSOE 2007","Votos a candidaturas 2011",53
"PP 2007","Votos a candidaturas 2011",159
"PAR 2007","Votos a candidaturas 2011",167
"CHA 2007","Votos a candidaturas 2011",46
"Votos a candidaturas 2011","PSOE 2011",77
"Votos a candidaturas 2011","PP 2011",181
"Votos a candidaturas 2011","PAR 2011",87
"Votos a candidaturas 2011","CHA 2011",31
