"source","target","value"
"Votos a candidaturas 2007","PSOE 2007",683
"Votos a candidaturas 2007","PP 2007",749
"Votos a candidaturas 2007","PAR 2007",428
"Votos a candidaturas 2007","CHA 2007",132
"Votos a candidaturas 2007","IU 2007",96
"Votos a candidaturas 2007","AEIPS 2007",236
"Votos a candidaturas 2007","IEI 2007",79
"PSOE 2007","Votos a candidaturas 2011",683
"PP 2007","Votos a candidaturas 2011",749
"PAR 2007","Votos a candidaturas 2011",428
"CHA 2007","Votos a candidaturas 2011",132
"IU 2007","Votos a candidaturas 2011",96
"AEIPS 2007","Votos a candidaturas 2011",236
"IEI 2007","Votos a candidaturas 2011",79
"Votos a candidaturas 2011","PSOE 2011",806
"Votos a candidaturas 2011","PP 2011",604
"Votos a candidaturas 2011","PAR 2011",623
"Votos a candidaturas 2011","CHA 2011",156
"Votos a candidaturas 2011","IU 2011",140
"Votos a candidaturas 2011","COMPROMISO.CON.ARAGON 2011",40
