"source","target","value"
"Votos a candidaturas 2007","PSOE 2007",487
"Votos a candidaturas 2007","PP 2007",489
"Votos a candidaturas 2007","PAR 2007",93
"Votos a candidaturas 2007","CHA 2007",164
"PSOE 2007","Votos a candidaturas 2011",487
"PP 2007","Votos a candidaturas 2011",489
"PAR 2007","Votos a candidaturas 2011",93
"CHA 2007","Votos a candidaturas 2011",164
"Votos a candidaturas 2011","PSOE 2011",432
"Votos a candidaturas 2011","PP 2011",394
"Votos a candidaturas 2011","PAR 2011",171
"Votos a candidaturas 2011","CHA 2011",108
"Votos a candidaturas 2011","IU 2011",89
